Institution_ID,Institution,Abbrev,Type,Public,Flagship,URL,Location_ID,Land_Grant,Sea_Grant,Space_Grant,Sun_Grant
2,University of Alaska - Fairbanks,UNIAKSYS-UAF,National University,Yes,Yes,http://www.uaf.edu/,US-AK-FAI,Yes,Yes,Yes,Yes
3,University of Alaska - Anchorage,UNIAKSYS-UAA,Regional University,Yes,No,http://www.uaa.alaska.edu/,US-AK-ANC,Yes,No,No,No
4,University of Alaska - Southeast,UNIAKSYS-UASE,Regional University,Yes,No,http://www.uas.alaska.edu/,US-AK-JNU,Yes,No,No,No
5,Catholic University of America,CATHUNIAM,National University,No,No,http://www.cua.edu/,US-DC-WAS,No,No,No,No
6,The MET Center,METCENTPROV,High School,Yes,No,http://www.themethighschool.org/,US-RI-PVD,No,No,No,No
7,University of Southern Mississippi,MSIHL-USM,National University,Yes,No,http://www.usm.edu/,US-MS-HBG,No,No,No,No
8,Louisiana State University,LSUS-LSU,National University,Yes,No,http://www.lsu.edu/,US-LA-BTR,Yes,Yes,No,No
9,Pharmacology Nanjing,,Medical,Yes,No,,CN-32-NJI,No,No,No,No
10,Cornell College,CORNCOL,National Liberal Arts College,No,No,http://www.cornellcollege.edu/,US-IA-MXF,No,No,No,No
11,University of Rhode Island,RICPSE-URI,National University,Yes,Yes,http://ww2.uri.edu/,US-RI-KSO,Yes,Yes,No,No
12,Community College of Rhode Island,RICPSE-CCRI,Community College,Yes,No,http://www.ccri.edu/,US-RI-UZO,No,No,No,No
13,Illinois College of Optometry,ILCOLOPT,Medical,No,No,http://www.ico.edu/,US-IL-CHI,No,No,No,No
14,West Virginia University,WVUBG-WVU,National University,Yes,No,http://www.wvu.edu/,US-WI-MOR,Yes,No,Yes,No
15,Ashford University,BPI-ASHFORD,Regional University,No,No,http://www.ashford.edu/,US-CA-SAN,No,No,No,No
16,Southern Connecticut State University,CTSUNISYS-SCSU,Regional University,Yes,No,http://www.southernct.edu/,US-CT-HVN,No,No,No,No
17,Central Connecticut State University,CTSUNISYS-CCSU,Regional University,Yes,No,http://www.ccsu.edu/,US-CT-NWT,No,No,No,No
18,Eastern Connecticut State University,CTSUNISYS-ECSU,Regional University,Yes,No,http://www1.easternct.edu/,US-CT-QWL,No,No,No,No
19,Western Connecticut State University,CTSUNISYS-WCSU,Regional University,Yes,No,http://www.wcsu.edu/,US-CT-DXR,No,No,No,No
20,Benedict College,BENEDICTCOL,Regional University,No,No,http://www.benedict.edu/,US-SC-CAE,No,No,No,No
21,Bangalore University,BANGUNI,National University,Yes,No,http://bangaloreuniversity.ac.in/,IN-KA-BLR,No,No,No,No
22,Beijing Institute of Technology,BEIJIT,National University,Yes,No,http://english.bit.edu.cn/,CN-11-BJS,No,No,No,No
23,Huazhong University of Science and Technology,HUAZUST,National University,Yes,No,http://english.hust.edu.cn/,CN-42-NHN,No,No,No,No
24,Korea University,KOREAUNI,National University,Yes,No,http://www.korea.edu/,KR-11-SEL,No,No,No,No
25,National Institutes of Technology,NIT-IND,University System,Yes,No,,,No,No,No,No
26,Plymouth University,PLYUNI,National University,Yes,No,https://www.plymouth.ac.uk/,GB-ENG-PLY,No,No,No,No
27,National University of Health Sciences,NUHS,Medical,No,No,http://www.nuhs.edu/,US-IL-LOM,No,No,No,No
28,Chicago State University,CSUNI,Regional University,Yes,No,https://www.csu.edu/,US-IL-CHI,No,No,No,No
29,SUNY Fredonia,SUNY-FRE,Regional University,Yes,No,http://www.fredonia.edu/,US-NY-FEO,No,No,No,No
30,Stony Brook University -- SUNY,SUNY-SBU,National University,Yes,No,http://www.stonybrook.edu/,US-NY-ZTY,No,Yes,Yes,No
31,University of Albany -- SUNY,SUNY-ALB,National University,Yes,No,http://www.albany.edu/,US-NY-ALB,No,No,No,No
32,SUNY Upstate Medical University,SUNY-USMU,Medical,Yes,No,http://www.upstate.edu/,US-NY-SYR,No,No,No,No
33,SUNY Geneseo,SUNY-GEN,Regional University,Yes,No,http://www.geneseo.edu/,US-NY-GES,No,No,No,No
34,SUNY Rockland Community College,SUNY-RLCC,Community College,Yes,No,http://www.sunyrockland.edu/,US-NY-SUJ,No,No,No,No
35,University at Buffalo -- SUNY,SUNY-BUFF,National University,Yes,Yes,http://www.buffalo.edu/,US-NY-BUF,No,Yes,Yes,No
36,Binghamton University -- SUNY,SUNY-BING,National University,Yes,No,http://www.binghamton.edu/,US-NY-VJZ,No,No,Yes,No
37,University of Medicine and Health Sciences,UMHS,Medical,No,No,http://www.umhs-sk.org/,KN-K-BAS,No,No,No,No
38,University of Illinois at Urbana-Champaign,UISYS-UIUC,National University,Yes,No,http://illinois.edu/,US-IL-CHA,Yes,Yes,No,No
39,University of Illinois at Chicago,UISYS-UIC,National University,Yes,No,https://www.uic.edu/,US-IL-CHI,No,No,No,No
